aceleracao;eficiencia;tempoExecucao;linhasMatriz;colunasMatriz;qtdThreads
0.953142;0.059571;0.514158;500;500;1
1.847062;0.115441;0.265780;500;500;2
3.704051;0.231503;0.133277;500;500;4
6.963909;0.435244;0.070291;500;500;8
8.493645;0.530853;0.057989;500;500;16
0.950101;0.059381;4.116773;1000;1000;1
1.871334;0.116958;2.123959;1000;1000;2
3.786670;0.236667;1.077709;1000;1000;4
7.211884;0.450743;0.544537;1000;1000;8
8.844160;0.552760;0.448784;1000;1000;16
0.957412;0.059838;34.498936;2000;2000;1
1.865278;0.116580;17.710209;2000;2000;2
3.663175;0.228948;8.966556;2000;2000;4
7.227776;0.451736;4.564633;2000;2000;8
9.648127;0.603008;3.443031;2000;2000;16
